
==================================================
Loading embedding model: sentence-transformers/use-cmlm-multilingual...

Embedding Similarity Benchmark Results (Model: sentence-transformers/use-cmlm-multilingual):

| ZhiWen File   | Equivalent File   |   Cosine Similarity |
| sim_0228.zw   | sim_0228.json     |              0.7749 |
| sim_0059.zw   | sim_0059.json     |              0.8282 |
| sim_0705.zw   | sim_0705.json     |              0.8415 |
| sim_0966.zw   | sim_0966.json     |              0.8417 |
| sim_0061.zw   | sim_0061.json     |              0.8678 |
| sim_0995.zw   | sim_0995.json     |              0.8461 |
| sim_0782.zw   | sim_0782.json     |              0.8408 |
| sim_0870.zw   | sim_0870.json     |              0.8357 |
| sim_0246.zw   | sim_0246.json     |              0.7845 |
| sim_0551.zw   | sim_0551.json     |              0.8417 |
| sim_0405.zw   | sim_0405.json     |              0.8318 |
| sim_0432.zw   | sim_0432.json     |              0.7491 |
| sim_0333.zw   | sim_0333.json     |              0.8359 |
| sim_0656.zw   | sim_0656.json     |              0.748  |
| sim_0341.zw   | sim_0341.json     |              0.8333 |
| sim_0938.zw   | sim_0938.json     |              0.8324 |
| sim_0693.zw   | sim_0693.json     |              0.8053 |
| sim_0644.zw   | sim_0644.json     |              0.8443 |
| sim_0057.zw   | sim_0057.json     |              0.753  |
| sim_0512.zw   | sim_0512.json     |              0.85   |
| sim_0896.zw   | sim_0896.json     |              0.8272 |
| sim_0828.zw   | sim_0828.json     |              0.82   |
| sim_0358.zw   | sim_0358.json     |              0.7603 |
| sim_0349.zw   | sim_0349.json     |              0.8146 |
| sim_0428.zw   | sim_0428.json     |              0.8407 |
| sim_0643.zw   | sim_0643.json     |              0.7631 |
| sim_0353.zw   | sim_0353.json     |              0.766  |
| sim_0083.zw   | sim_0083.json     |              0.8424 |
| sim_0620.zw   | sim_0620.json     |              0.7451 |
| sim_0817.zw   | sim_0817.json     |              0.8617 |
| sim_0574.zw   | sim_0574.json     |              0.8465 |
| sim_0685.zw   | sim_0685.json     |              0.851  |
| sim_0168.zw   | sim_0168.json     |              0.8433 |
| sim_0636.zw   | sim_0636.json     |              0.8292 |
| sim_0743.zw   | sim_0743.json     |              0.8233 |
| sim_0566.zw   | sim_0566.json     |              0.7859 |
| sim_0015.zw   | sim_0015.json     |              0.7665 |
| sim_0081.zw   | sim_0081.json     |              0.8298 |
| sim_0600.zw   | sim_0600.json     |              0.7702 |
| sim_0267.zw   | sim_0267.json     |              0.8618 |
| sim_0942.zw   | sim_0942.json     |              0.8246 |
| sim_0304.zw   | sim_0304.json     |              0.8266 |
| sim_0283.zw   | sim_0283.json     |              0.8585 |
| sim_0247.zw   | sim_0247.json     |              0.8492 |
| sim_0192.zw   | sim_0192.json     |              0.7468 |
| sim_0515.zw   | sim_0515.json     |              0.8027 |
| sim_0854.zw   | sim_0854.json     |              0.8574 |
| sim_0431.zw   | sim_0431.json     |              0.821  |
| sim_0832.zw   | sim_0832.json     |              0.8227 |
| sim_0049.zw   | sim_0049.json     |              0.8515 |
| sim_0080.zw   | sim_0080.json     |              0.8419 |
| sim_0433.zw   | sim_0433.json     |              0.8622 |
| sim_0648.zw   | sim_0648.json     |              0.8638 |
| sim_0217.zw   | sim_0217.json     |              0.757  |
| sim_0325.zw   | sim_0325.json     |              0.821  |
| sim_0498.zw   | sim_0498.json     |              0.8125 |
| sim_0893.zw   | sim_0893.json     |              0.8451 |
| sim_0802.zw   | sim_0802.json     |              0.8054 |
| sim_0526.zw   | sim_0526.json     |              0.7825 |
| sim_0509.zw   | sim_0509.json     |              0.8506 |
| sim_0616.zw   | sim_0616.json     |              0.833  |
| sim_0997.zw   | sim_0997.json     |              0.8517 |
| sim_0189.zw   | sim_0189.json     |              0.7993 |
| sim_0110.zw   | sim_0110.json     |              0.8175 |
| sim_0416.zw   | sim_0416.json     |              0.8218 |
| sim_0109.zw   | sim_0109.json     |              0.8463 |
| sim_0184.zw   | sim_0184.json     |              0.7644 |
| sim_0274.zw   | sim_0274.json     |              0.8575 |
| sim_0064.zw   | sim_0064.json     |              0.8315 |
| sim_0589.zw   | sim_0589.json     |              0.7651 |
| sim_0846.zw   | sim_0846.json     |              0.7928 |
| sim_0928.zw   | sim_0928.json     |              0.8483 |
| sim_0229.zw   | sim_0229.json     |              0.852  |
| sim_0663.zw   | sim_0663.json     |              0.8029 |
| sim_0714.zw   | sim_0714.json     |              0.8114 |
| sim_0175.zw   | sim_0175.json     |              0.8173 |
| sim_0687.zw   | sim_0687.json     |              0.7658 |
| sim_0079.zw   | sim_0079.json     |              0.8567 |
| sim_0339.zw   | sim_0339.json     |              0.8088 |
| sim_0830.zw   | sim_0830.json     |              0.8483 |
| sim_0536.zw   | sim_0536.json     |              0.8827 |
| sim_0949.zw   | sim_0949.json     |              0.7534 |
| sim_0723.zw   | sim_0723.json     |              0.8346 |
| sim_0772.zw   | sim_0772.json     |              0.8428 |
| sim_0882.zw   | sim_0882.json     |              0.8154 |
| sim_0921.zw   | sim_0921.json     |              0.8341 |
| sim_0549.zw   | sim_0549.json     |              0.8393 |
| sim_0231.zw   | sim_0231.json     |              0.8724 |
| sim_0301.zw   | sim_0301.json     |              0.7916 |
| sim_0994.zw   | sim_0994.json     |              0.8419 |
| sim_0654.zw   | sim_0654.json     |              0.8659 |
| sim_0206.zw   | sim_0206.json     |              0.8169 |
| sim_0645.zw   | sim_0645.json     |              0.8338 |
| sim_0482.zw   | sim_0482.json     |              0.8244 |
| sim_0840.zw   | sim_0840.json     |              0.8707 |
| sim_0765.zw   | sim_0765.json     |              0.7555 |
| sim_0926.zw   | sim_0926.json     |              0.8016 |
| sim_0153.zw   | sim_0153.json     |              0.8066 |
